Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1982,F,seattle,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1987,M,seatac,WA,98198,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1950,M,bellevue,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1992,F,seattle,WA,98105,OUT-OF-STATE,D,VALID,FULL,2024
2004,F,seattle,WA,98133,OUT-OF-STATE,D,VALID,FULL,2025
1998,M,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2024
1985,F,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1995,F,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1996,M,seattle,WA,98102,OUT-OF-STATE,D,VALID,FULL,2024
1990,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,M,seattle,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1992,M,issaquah,WA,98027,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,F,seattle,WA,98126,OUT-OF-STATE,D,VALID,FULL,2027
1978,M,seattle,WA,98103,OUT-OF-STATE,D,VALID,FULL,2028
1995,M,bothell,WA,98012,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1995,F,carnation,WA,98014,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,M,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2028
1995,M,kenmore,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1980,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2024
1994,M,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2025
1995,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1952,M,seattle,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,bothell,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,M,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2026
1979,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,bellevue,WA,98004,OUT-OF-STATE,D,VALID,FULL,2024
1977,M,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1988,F,burien,WA,98166,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,seattle,WA,98136,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1993,F,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2024
1987,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1966,M,newcastle,WA,98056,OUT-OF-STATE,D,VALID,FULL,2028
1990,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1989,F,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1989,M,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1996,M,seattle,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1987,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1983,M,auburn,WA,98001,OUT-OF-STATE,D,VALID,FULL,2027
1987,M,seattle,WA,98116,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1986,F,shoreline,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1990,M,issaquah,WA,98029,OUT-OF-STATE,D,VALID,FULL,2028
1998,F,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2030
1968,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1987,M,seattle,WA,98125,OUT-OF-STATE,D,VALID,FULL,2025
1978,M,mercer island,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1999,F,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1982,F,seattle,WA,98104,OUT-OF-STATE,D,VALID,FULL,2026
1985,F,issaquah,WA,98027,OUT-OF-STATE,D,VALID,FULL,2025
1987,M,bellevue,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1994,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1982,M,seattle,WA,98199,OUT-OF-STATE,D,VALID,FULL,2028
1993,M,bellevue,WA,98006,OUT-OF-STATE,D,VALID,FULL,2029
1957,F,sammamish,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1975,M,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1990,M,seattle,WA,98121,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1984,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1969,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1958,F,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2028
1987,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1981,F,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1987,M,seattle,WA,98121,OUT-OF-STATE,D,SUSPENDED,FULL,2025
