Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1956,F,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1982,F,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1983,F,YAKIMA,WA,98908,OUT-OF-STATE,D,VALID,FULL,2031
1991,F,CHENEY,WA,99004,OUT-OF-STATE,D,VALID,FULL,2024
1987,M,SEATAC,WA,98198,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1950,M,BELLEVUE,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1997,M,TACOMA,WA,98443,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,F,DUPONT,WA,98327,OUT-OF-STATE,D,SUSPENDED,FULL,2026
1992,F,SEATTLE,WA,98105,OUT-OF-STATE,D,VALID,FULL,2024
2004,F,SEATTLE,WA,98133,OUT-OF-STATE,D,VALID,FULL,2025
1992,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1958,M,SPOKANE,WA,99202,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1998,M,SEATTLE,WA,98122,OUT-OF-STATE,D,VALID,FULL,2024
1989,F,OLYMPIA,WA,98502,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1985,F,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1973,M,SEATTLE,WA,98118,OUT-OF-STATE,E,SURRENDERED,FULL,2024
1995,F,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,F,BELLINGHAM,WA,98229,OUT-OF-STATE,D,VALID,FULL,2027
1992,M,GRAPEVIEW,WA,98546,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1954,M,VANCOUVER,WA,98665,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1996,M,SEATTLE,WA,98102,OUT-OF-STATE,D,VALID,FULL,2024
1994,F,VANCOUVER,WA,98661,OUT-OF-STATE,D,VALID,FULL,2024
1997,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,VALID,FULL,2024
1999,F,VANCOUVER,WA,98662,OUT-OF-STATE,ID ONLY,,,2029
1980,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1999,F,COSMOPOLIS,WA,98537,OUT-OF-STATE,D PERMIT,VALID,FULL,2026
1990,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,M,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,M,AIRWAY HEIGHTS,WA,99001,OUT-OF-STATE,D,VALID,FULL,2025
1990,M,BREMERTON,WA,98312,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,M,VANCOUVER,WA,98684,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1989,M,PORT TOWNSEND,WA,98368,OUT-OF-STATE,DM,SURRENDERED,FULL,2024
1996,M,BREMERTON,WA,98312,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,F,WASHOUGAL,WA,98671,OUT-OF-STATE,D,VALID,FULL,2025
1971,F,VANCOUVER,WA,98663,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1992,M,ISSAQUAH,WA,98027,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,F,SEATTLE,WA,98126,OUT-OF-STATE,D,VALID,FULL,2027
1978,M,SEATTLE,WA,98103,OUT-OF-STATE,D,VALID,FULL,2028
1972,M,SPANAWAY,WA,98387,OUT-OF-STATE,D,VALID,FULL,2027
1995,M,BOTHELL,WA,98012,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1992,M,POULSBO,WA,98370,OUT-OF-STATE,D,VALID,FULL,2029
1995,F,CARNATION,WA,98014,OUT-OF-STATE,D,SURRENDERED,FULL,2024
