Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1956,F,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1982,F,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1987,M,SEATAC,WA,98198,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1950,M,BELLEVUE,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1997,M,TACOMA,WA,98443,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1992,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1958,M,SPOKANE,WA,99202,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,F,OLYMPIA,WA,98502,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1985,F,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1973,M,SEATTLE,WA,98118,OUT-OF-STATE,E,SURRENDERED,FULL,2024,2016,2023
1995,F,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1992,M,GRAPEVIEW,WA,98546,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1954,M,VANCOUVER,WA,98665,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1980,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1990,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,M,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1990,M,BREMERTON,WA,98312,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
